Type,Description,Date,Pay,Multa, Usura
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02, 09/08/2022, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 16/08/2022, R$ 459.00,,
Saldo Creditado, Loja Kovi - Depósito Kovi Próprio 2/5, 22/08/2022, R$ 1.400.00 ,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 23/08/2022, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 30/08/2022, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 06/09/2022, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 13/09/2022, R$ 459.00,,
Saldo Creditado, Loja Kovi - Depósito Kovi Próprio 3/5, 20/09/2022, R$ 1.400.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 20/09/2022, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 27/09/2022, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 05/10/2022, R$ 505.05,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 11/10/2022, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 18/10/2022, R$ 459.00,,
Saldo Creditado, Loja Kovi - Depósito Kovi Próprio 4/5, 20/10/2022, R$ 1.400.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 25/10/2022, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 01/11/2022, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 08/11/2022, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 15/11/2022, R$ 459.00,,
Saldo Creditado, Loja Kovi - Depósito Kovi Próprio 5/5, 21/11/2022, R$ 1.400.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 22/112022, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 29/11/2022, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 06/12/2022, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 13/12/2022, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 20/12/2022, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 27/12/2022, R$ 459.00,,
Pago, Negociacao de pagamento 04-01-2023, 03/01/2023, R$ 505.05 ,,
Pago, Negociacao de pagamento 04-01-2023 1/1, 04/01/2023, R$ 505.05,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 10/01/2023, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 17/01/2023, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 24/01/2023, R$ 459.00,,
Pago, Infração de trânsito M540040064, 30/01/2023, R$ 845.20,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 31/01/2023, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 07/02/2023, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 14/02/2023, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 21/02/2023, R$ 459.00,,
Pago, Negociacao de pagamento 01-03-2023, 28/02/2023, R$ 505.05,,
Pago, Negociacao de pagamento 01-03-2023 1/1, 01/03/2023, R$ 505.05,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 07/03/2023, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 14/03/2023, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 21/03/2023, R$ 505.05,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 28/03/2023, R$ 505.35,R$ 0.46, R$ 45.90
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 04/04/2023, R$ 459.00,,
Pago, Plano Kovi Proprio 48 + 12 - Carro seminovo - Grupo 02 (Até 15/Ago/2022), 11/04/2023, R$ 459.00,,
Saldo Creditado, caução. Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 20/04/2023, R$ 505.05,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 20/04/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 26/04/2023, R$ 692.10, R$ 0.21, R$ 62.90
Pago, Infração de trânsito GRA7565373, 27/04/2023, R$ 172.38, R$ 0.57,R$ 15.62 
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 03/05/2023, R$ 629.00,,
Pago, Manutenção/Avarias no carro 1/2, 05/05/2023, R$ 415.75, R$ 0.50, R$ 37.75 
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 10/05/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 17/05/2023, R$ 692.31, R$ 0.42, R$ 62.90 
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 24/05/2023, R$ 692.52, ,
Pago, Manutenção/Avarias no carro, 26/05/2023, R$ 416.01,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 31/05/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 07/06/2023, R$ 692.31, R$ 0.42, R$ 62.90 
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 14/06/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 21/06/2023, R$ 692.52, R$ 0.63, R$ 62.90 
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 28/06/2023, R$ 629.00,,
Pago, Infração de trânsito PMC1663595, 03/07/2023, R$ 124.96,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 05/07/2023, R$ 692.52, R$ 0.63, R$ 62.90 
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 12/07/2023, R$ 629.00,,
Pago, Cobrança No-show, 12/07/2023, R$ 200.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 19/07/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 26/07/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 02/08/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 09/08/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 16/08/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 23/08/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 30/08/2023, R$ 692.31,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 06/09/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 13/09/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 20/09/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 27/09/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 04/10/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 11/10/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 18/10/2023, R$ 692.78, R$ 0.84, R$ 62.90 
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 25/10/2023, R$ 692.31, R$ 0.42, R$ 62.90 
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 01/11/2023, R$ 692.10, R$ 0.21, R$ 62.90 
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 08/11/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 15/11/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 22/11/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 29/11/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 06/12/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 13/12/2023, R$ 629.00,,
Pago, Nota de Direção, 20/12/2023, R$ 66.02, R$ 0.02, R$ 6.00
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 20/12/2023, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 27/12/2023, R$ 629.00,,
Pago, Nota de Direção, 27/12/2023, R$ 66.04, R$ 0.04, R$ 6.00
Pago, Nota de Direção, 03/01/2024, R$ 60.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 03/01/2024, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 10/01/2024, R$ 629.00,,
Pago, Nota de Direção, 10/01/2024, R$ 60.00,,
Pago, Nota de Direção, 24/01/2024, R$ 66.52, R$ 0.52, R$ 6.00
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 17/01/2024, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 24/01/2024, R$ 629.00,,
Pago, Nota de Direção, 24/01/2024, R$ 66.52,,
Pago, Nota de Direção, 31/01/2024, R$ 66.38, R$ 0.38, R$ 6.00
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 31/01/2024, R$ 629.00,,
Pago, Nota de Direção, 07/02/2024, R$ 66.38, R$ 0.38, R$ 6.00 
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 07/02/2024, R$ 692.52, R$ 0.63, R$ 62.90
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 14/02/2024, R$ 692.94, R$ 1.05, R$ 62.90 
Pago, Nota de Direção, 14/02/2024 ,R$ 44.16, R$ 0.16, R$ 4.00
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 21/02/2024, R$ 692.73, R$ 0.84, R$ 62.90 
Pago, Nota de Direção, 21/02/2024 ,R$ 44.06, R$ 0.07, R$ 4.00
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 28/02/2024, R$ 629.00,,
Pago, Nota de Direção, 06/03/2024, R$ 44.20, R$ 0.20, R$ 4.00 
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 06/03/2024, R$ 629.00, ,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 13/03/2024, R$ 692.10, R$ 0.21, R$ 62.90 
Pago, Nota de Direção, 20/03/2024, R$ 44.72, R$ 0.72, R$ 4.00 
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 20/03/2024, R$ 692.10, R$ 0.21, R$ 62.90 
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 27/03/2024, R$ 629.00,,
Pago, Nota de Direção, 27/03/2024, R$ 44.62, R$ 0.63, R$ 4.00 
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 03/04/2024, R$ 692.10, R$ 0.21, R$ 62.90 
Pago, Nota de Direção, 03/04/2024, R$ 44.53, R$ 0.53, R$ 4.00 
Pago, Infração de trânsito TPA2091626, 04/04/2024, R$ 281.73, R$ 352.16,
Pago,Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 10/04/2024, R$ 629.00,,
Pago, Nota de Direção, 10/04/2024, R$ 44.44, R$ 0.44, R$ 4.00 
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 17/04/2024, R$ 629.00,,
Pago, Nota de Direção, 17/04/2024, R$ 44.34, R$ 0.35, R$ 4.00
Pago, Nota de Direção, 24/04/2024, R$ 44.25, R$ 0.25, R$ 4.00 
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 02/05/2024, R$ 692.32, R$ 0.42, R$ 62.90 
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 01/05/2024, R$ 629.00,,
Pago, Nota de Direção, 02/05/2024, R$ 44.14, R$ 0.15, R$ 4.00 
Pago, Nota de Direção, 08/05/2024, R$ 44.06, R$ 0.07, R$ 4.00
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 08/05/2024, R$ 629.00,,
Pago, Plano Kovi Próprio - 48+18 - Grupo 09 - Caução R$7.000, 15/05/2024, R$ 692.78, R$ 0.84, R$ 62.90 
Pago, Nota de Direção, 15/05/2024 ,R$ 44.16, R$ 0.16, R$ 4.00 
Pago, Serviço de funilaria agendada 1/20, 16/05/2024, R$ 248.32, R$ 0.82, R$ 22.50 
Pago, Não comparecimento - Funilaria Agendada, 20/05/2024, R$ 220.47, R$ 0.47, R$ 20.00 
Pago, Nota de Direção, 22/05/2024, R$ 44.06, R$ 0.07, R$ 4.00
Pago, PlanoKovi Proprio 48 + 12 - Grupo 09 (Reajuste Mai/2024), 22/05/2024, R$ 721.66, R$ 1.09, R$ 65.50
Pago, Serviço de funilaria agendada 2/20, 23/05/2024, R$ 247.80, R$ 0.30, R$ 22.50 
Pago, PlanoKovi Proprio 48 + 12 - Grupo 09 (Reajuste Mai/2024), 29/05/2024, R$ 655.00,,
Pago, Serviço de funilaria agendada 3/20, 31/05/2024, R$ 248.32, R$ 0.82, R$ 22.50
Pago, PlanoKovi Proprio 48 + 12 - Grupo 09 (Reajuste Mai/2024), 05/06/2024, R$ 721.59, R$ 1.09, R$ 65.50 
Pago, Serviço de funilaria agendada 4/20, 06/06/2024, R$ 247.88, R$ 0.38, R$ 22.50  
Pago, PlanoKovi Proprio 48 + 12 - Grupo 09 (Reajuste Mai/2024), 12/06/2024, R$ 721.15, R$ 1.09, R$ 65.50
Pago, Serviço de funilaria agendada 5/20, 13/06/2024, R$ 225.0,,
Pago, PlanoKovi Proprio 48 + 12 - Grupo 09 (Reajuste Mai/2024), 19/06/2024, R$ 725.08, R$ 4.58, R$ 65.50
Pago, Serviço de funilaria agendada 6/20, 20/06/2024, R$ 225.00 , ,
Pago, Serviço de funilaria agendada 7/20, 27/06/2024, R$ 248.47, ,
Pago, Multa Rescisória, 02/07/2024, R$ 1.102.67, R$ 2.67, R$ 100.00 
Pago, Manutenção/Avarias no carro, 02/07/2024, R$ 650.20, R$ 1.57, R$ 58.97 
Pago, Placa e itens, 02/07/2024, R$ 253.61, R$ 0.61, R$ 23.00
Pago, Lavagem/Higienização, 02/07/2024, R$ 165.40, R$ 0.40, R$ 15.00 
