"(Não Modificar) Análise do Imóvel","(Não Modificar) Soma de Verificação da Linha","(Não Modificar) Data de Modificação","Proposta","Data de Modificação","Considerar na Garantia","Valor Médio de Mercado","Valor do M2 de Mercado","Valor Médio de Venda Forçada","Valor do M2 de Venda Forçada","Quantidade de Amostras","Mensagem"
"7be47868-b228-ea11-a810-000d3a887300","OGrD86nLaLUM/bPwkJDh6ONbTT1GzML+wISpVvnLeYdSOW6P74M9EKIVQnW4VY6VlTFyk64SjjrZ2OOwQFHn1A==",27/12/19 14:09,"PRO-03103-L0L2G9",27/12/19 11:09,"Sim","5004251,53","6650,26","5004251,53","6650,26",5,
"c97cdc3e-c428-ea11-a810-000d3a887300","OtopmWeX8Kx39/9HOs3vLlhebFvsG+uGTlsEWY+7nOeNj/YsE/4l9I6XyrEktf3a8ZnVX0qRNY6J0wIKejlR8w==",09/01/20 18:30,"PRO-03134-W5T2Z5",09/01/20 15:30,"Sim","207246,37","3840,74","207246,37","3840,74",5,
"08cc84bc-d428-ea11-a810-000d3a887300","xujYl8NgsZZkVT4NxADxQFmeX7s/Y1J4BvtW0ipGAtqcLhAYpcBkNW2LL/iKbTpnablzZ32h9614tv/0F0beKw==",06/01/20 13:08,"PRO-03138-N2R7N1",06/01/20 10:08,"Sim","307246,67","2833,33","307246,67","2833,33",4,
"97e10f8d-db28-ea11-a810-000d3a887300","//XJT7dihk0LbaYFJD6Qd0XXURpgxSpyHN3O3PhufRDPMBlzeRFeJ9muz8NaboGY4v4w/P6NYK/p8baB7nprWg==",09/01/20 18:30,"PRO-03109-S0M2G6",09/01/20 15:30,"Sim","851212,67","5572,22","851212,67","5572,22",3,
"ecae89cb-192b-ea11-a810-000d3a887300","Ryxq9P6Oy/uJURJUvFjNb3YeHv0vikzpehZ8Y7zAaf2fG3+xYiduEftZKkyCsrOF3Odd/HF2mfaCizbCcyfihA==",06/01/20 19:51,"PRO-03167-V1F7X0",06/01/20 16:51,"Sim","1979318,20","4495,18","1979318,20","4495,18",8,
"d2fb9a67-342b-ea11-a810-000d3a887300","D/z/gI/hpMlZiFYnj1D/2OUEUhvmNv46QtjCesHtmEnZinZwLW7ibNBayHLDs028cIw9JOliVTU0egPU++9P0w==",23/01/20 21:05,"PRO-03137-N1C3B8",23/01/20 18:05,"Não","320000,00","2359,53","320000,00","2359,53",0,
"c9da75e6-662d-ea11-a810-000d3a887300","9dU6hppGxwMwoDLxBjOxeqZnwiVKX/DzDKwudY8bowBixSOYYAkFJcBxkX+lBJaMOMMTMIaHUaGSeiebLPhxfw==",06/01/20 13:31,"PRO-03192-W9K1T5",06/01/20 10:31,"Sim","592514,19","3061,93","592514,19","3061,93",6,
"33421396-8d2d-ea11-a810-000d3a887300","5apGSUnq4Nuk6OmpmVwRiUkv0sFbCz8yEsU8ZXu6xi6UZBAnu5kMVLJFFI+5FqYXbe5FTIqbbQe9uAYSuNVJRw==",30/01/20 20:11,"PRO-03161-N6G2Y4",30/01/20 17:11,"Sim","5544636,34","4744,68","5544636,34","4744,68",5,
"b40c1c0f-8e2d-ea11-a810-000d3a887300","B/sC7u3JQRvMstm+XgQgAFdxUBZX+a5jc1K2IYTIXYq8rhxo30uJRrcy79FUe1B8rhXfGRSLYhDfebSYIUzRdA==",30/01/20 20:11,"PRO-03161-N6G2Y4",30/01/20 17:11,"Não","297500,00","3198,92","297500,00","3198,92",2,
"a17ef70a-1e54-ea11-a811-000d3a887300","2q4msUDpaY1DUfrz3o2WzUMMid05KByO9UlhcBwTq53Jz+IIHtTiVE73FzaBCDEdXi5ueAljZpyB5v/pWP2J9g==",06/03/20 18:59,"PRO-04750-M6T1G8",06/03/20 15:59,"Sim","1915511,13","8882,50","1915511,13","8882,50",3,
"a2cd4f82-2354-ea11-a811-000d3a887300","rGa0zok70/5QohsaSdWPBwnmH8aCZVeB0sfY56rmGbfj7X32GOvDxH99gah1Tvwcfns4NjzkT/IAXS/ma0YWlw==",02/03/20 14:51,"PRO-04796-S5X5W5",02/03/20 11:51,"Não","17000000,00","33516,03","17000000,00","33516,03",5,
"e036e387-1f5a-ea11-a811-000d3a887300","54UousuBeODDRQ3XQxe2YADckd8uVUv8aN1CPtbBZaTDWhrs8o/7GsjPxM5IVR5KHMkcJ0cnmFP/qMMjIUzbcQ==",20/03/20 12:16,"PRO-05029-D0S1S9",20/03/20 09:16,"Não","191250,00","8895,35","191250,00","8895,35",4,
"d257f7a2-285a-ea11-a811-000d3a887300","aXhfPL6uumsCaa9wq9q5jy1NGkbSC6ievdngIRFjCLQEKkX83n3KA2ClzFGK9rGZqrihqcYasGEtBDzNnMLy7A==",11/03/20 11:29,"PRO-04883-R3R3G3",11/03/20 08:29,"Não","3300000,00","6846,47","3300000,00","6846,47",0,
"a106d2e3-675a-ea11-a811-000d3a887300","V7A8dRcvELdA63wKbGImALUX55dRXDUL2EZLZ+Fo8cNVOswExqFIOIEGZRdLb/LTy2rppbVzM+z65oc4MGol+w==",12/03/20 17:43,"PRO-05021-V3X3N3",12/03/20 14:43,"Sim","183058,42","6241,34","183058,42","6241,34",5,
"902a848b-b45c-ea11-a811-000d3a887300","+dKX3n6IODX+0v8a316gqtSynivONYsSebqhhyl+2fB7bsPOA1CQNX6imX17PCHwOy9ldKMTF1QJNvAsVIJt/A==",05/03/20 21:22,"PRO-05129-M1Y1N5",05/03/20 18:22,"Não","503082,47","2801,13","503082,47","2801,13",4,
"cf61a01c-8b5d-ea11-a811-000d3a887300","PeecwhHKx7uUUx4NqKOwq+tGT6b/bJjm6537aMQr9MftuXRN3B+7aapEAbi0k/vEMBLCQVlGxUfl6E9jVgMHCw==",10/03/20 13:25,"PRO-04834-V7N5Z0",10/03/20 10:25,"Sim","274778,44","3718,75","274778,44","3718,75",4,
"fd65f6a2-8d5d-ea11-a811-000d3a887300","Y77LxWLjZ1jzJFyeRrU5EDpUEJQ1A/sFQDftaNXypqmjI0MRGuiwl379WPuiNVXJBb2ZjmFQZDwmxU2goSXt8g==",26/03/20 19:19,"PRO-05126-Q9M1C1",26/03/20 16:19,"Sim","710323,00","8356,74","710323,00","8356,74",4,
"0db43c27-595e-ea11-a811-000d3a887300","bJH0dsJsI2AalkSgr3QUFgXCTTAhMpAqBs54bAZ0C03AZPiWXgbvEO4AGiepQjgOhNrIK64/M+wPNo/uDEoJMQ==",17/03/20 13:55,"PRO-05110-D8B7S8",17/03/20 10:55,"Sim","755650,00","6093,95","755650,00","6093,95",5,
"59f27d4f-145f-ea11-a811-000d3a887300","mOC5cf1V6rwRckP3PeZgMGd+8tXIuh5HZLf3YsV1KKKd14cxh0yR64Amoj3jsU1bpdLqRdkwuDJrV/8XBtsqHw==",26/03/20 12:37,"PRO-05193-W7D7G6",26/03/20 09:37,"Não","892500,00","2479,17","892500,00","2479,17",4,
"4a5acf7c-215f-ea11-a811-000d3a887300","5tSZJsv1VpiI1dgGsTg56Ns/loEPQsEPQ9RisHnLw+Hi3H8UpfcHmCUxJiu9zfJxS3MznqwcrI8zUlSFvjUEYw==",30/03/20 13:09,"PRO-03115-N8R9P1",30/03/20 10:09,"Sim","680671,05","8007,89","680671,05","8007,89",5,
"92ed71d6-4662-ea11-a811-000d3a887300","lOd1GN8N1wB3qFPVNF8lD6s5piQYHmu8q4Adhzq9yjK2O8VTL+sJs7kWtIqieQ53Gk2D0+oCuMW/4A24Sl29/Q==",12/03/20 17:00,"PRO-03918-M9P1X1",12/03/20 14:00,"Sim","280113,19","4635,33","280113,19","4635,33",5,
"59cf3f79-4762-ea11-a811-000d3a887300","Qv/4o/Fj4h3pZ0DpL984g1MkaRiiGpbrIoGQI4NQMnTQ1a3BZgJEEedznRMYNHGyj6AUHugvuhpvP6+Zwlwmpg==",12/03/20 17:00,"PRO-03918-M9P1X1",12/03/20 14:00,"Sim","282744,00","4675,00","282744,00","4675,00",5,
"c63b3a2c-0763-ea11-a811-000d3a887300","zpQ+FmsW1RAVdfz1+3iiKsknPxzWWb1hGGSGkPCDb6mxxY0Uhg1W61XEKNAlPRFlXFkc3sXClmD5AuxYiaKixg==",17/03/20 18:50,"PRO-05209-X5G3V5",17/03/20 15:50,"Sim","1483184,15","11373,24","1483184,15","11373,24",4,
"c4fa10e5-c463-ea11-a811-000d3a887300","zotSTwo4BScmL5rD/75mWaC47OT8hgrRnj5GbIgZ3iG6SFspUWrUJ1+pDjR/WZyB6V6MdZyN/Ravs4fvgdVNuQ==",24/03/20 13:59,"PRO-05222-W8M9B2",24/03/20 10:59,"Sim","1216873,75","2288,04","1216873,75","2288,04",6,
"f1381691-d363-ea11-a811-000d3a887300","rnnkktp8XeEv6io3hR3PDpYRCCfixw3ZSctykddI/ss8U8SeRpSTYwG1jWBP35DYwy95z8gsNUBzB8bgwndMBQ==",24/03/20 13:53,"PRO-05221-J8C5Y1",24/03/20 10:53,"Sim","902929,92","4097,15","902929,92","4097,15",5,
"b9d7c53f-de63-ea11-a811-000d3a887300","y5IXKDl9MYPvg01vN4x2BMKhuwh45ymA7WO8NMW94d1hPcLNvtUMMwx0lZFyfL47Ftj5WFVnsy9SHZK7EHWKaA==",01/04/20 13:07,"PRO-05152-X1M5X6",01/04/20 10:07,"Não","77594,12","3604,00","77594,12","3604,00",5,
"8d94ef63-de63-ea11-a811-000d3a887300","bc3HK9YXVMk4EWdgd+9LYQjjB5DdIN5NPFMVpjd9Ecevpv7PYav9koi+PO5OK6MoSC9ptpS03rp6L9gnb7X5SA==",01/04/20 13:38,"PRO-05152-X1M5X6",01/04/20 10:38,"Não","96082,64","3604,00","96082,64","3604,00",5,
"e7380982-de63-ea11-a811-000d3a887300","bRdYd80lF7ZovZKOr1/UpYH/+0S72VU6BSW5VhO3V+s0KAwerAVtSz8rZM8Gm0n+hnvSC2bWf8b+ADbl0lGVMw==",01/04/20 13:15,"PRO-05152-X1M5X6",01/04/20 10:15,"Não","72981,00","3604,00","72981,00","3604,00",5,
"f4a94094-de63-ea11-a811-000d3a887300","MSctmUFmV162UP0jkX+n1TozzIhZHcqOCDt3AcXSYTG6H9b1dGi+sZvSzsG8tcti+/05hqBTjOft7h+fV0/uUQ==",01/04/20 13:21,"PRO-05152-X1M5X6",01/04/20 10:21,"Não","71647,52","3604,00","71647,52","3604,00",5,
"185c51ac-de63-ea11-a811-000d3a887300","D1JErnCuo+52WCiUPMNzUnGbMSPAitGRntT4ABGuPLEl1oPs2fybhZKfGv/K6yWiTTkJLC8XIN5UL8fJAgeKHg==",01/04/20 13:34,"PRO-05152-X1M5X6",01/04/20 10:34,"Não","88550,28","3604,00","88550,28","3604,00",5,
"dbc46fca-de63-ea11-a811-000d3a887300","Z0Hg9oI7NJPnTxe5JnoAEwHrqvCaiSE4JQO65sh6Na4/kTy/88+2OK0D0hPHxwjkOBFP/tfDCZZzaYq5SZE6Ig==",01/04/20 13:36,"PRO-05152-X1M5X6",01/04/20 10:36,"Não","410135,20","3604,00","410135,20","3604,00",5,
"27e4f10b-e563-ea11-a811-000d3a887300","H/LQz5YJ5jchtYHpzJ+yzfXAqgm8D9O9nRRzAnGpL2dSKckLtN/T4aeWkCN3CU/jczf69JdGKG7+g9F8hTWfFA==",11/03/20 22:10,"PRO-05186-F4W2X3",11/03/20 19:10,"Sim","680827,93","2228,72","680827,93","2228,72",6,
"33d66154-8d64-ea11-a811-000d3a887300","eTk6HH6dx1pW2e87CPBcx8rXT/auYxQBNQ5AF4wS3V7zs+7TguinWnItJbzvKoGnzNBieEu5IWrx21zlRTXLmQ==",23/03/20 18:28,"PRO-05269-H5R8H6",23/03/20 15:28,"Sim","1026365,84","2183,85","1026365,84","2183,85",5,
"cdb877c7-ac64-ea11-a811-000d3a887300","NNrOq/NECAi94GBIDiEBev9JIOTZ4uR85WSbbNQHkuTxxlxaRIGSV4qjc7A8qGwnVTaT8h+Pl0yswU79owJvsw==",23/03/20 19:05,"PRO-05284-B6W4F5",23/03/20 16:05,"Sim","2791027,62","7690,48","2791027,62","7690,48",5,
"de8aa5f3-4965-ea11-a811-000d3a887300","raUjGBVuc076GteM7D4zWFaB7Sc/KFe3fT8b80eK04vkxTR8LPMi1WRB3Q3vPVbqKqspGK3gE9iPBIgDhLYj1A==",13/03/20 16:45,"PRO-05253-B7Y3H2",13/03/20 13:45,"Sim","192334,94","4616,78","192334,94","4616,78",5,
"cf15a367-4e65-ea11-a811-000d3a887300","aI98g1poJvm9OJhSbKS828oUYrkWHlCs1sVaBwrrnHH5f+U2ps0LRCYL9sPhNJyDVXaESEb4A+mNyJ+gOr2A/g==",24/03/20 13:31,"PRO-05285-P7G5C3",24/03/20 10:31,"Sim","458605,19","3019,13","458605,19","3019,13",4,
"08a850c5-5765-ea11-a811-000d3a887300","ZQF/QvqtDWPA7Di2CswjmjuUMLKB4oIm6ZbBZGmvMCF+TA16zkwoVCOi+oBSgQsrnGMa1lumgQRmAyWVtenXJA==",20/03/20 14:06,"PRO-05330-T8F4N1",20/03/20 11:06,"Sim","903109,09","4090,91","903109,09","4090,91",4,
"8b91c6a6-6165-ea11-a811-000d3a887300","MY5Mgwgi31izOEN8sgiPu1T0Ak11jH7Lf9wtQf2ErF/xqGJKm/jB3R64Jp7CyCDDQPVn782w0Bi/5nzDqgUPOw==",31/03/20 19:25,"PRO-05312-C6P1K9",31/03/20 16:25,"Sim","280733,75","3895,83","280733,75","3895,83",4,
"8519fc05-6365-ea11-a811-000d3a887300","WsxiMJZXWIg0p2otRNX2zbtDrtUO7Jaa3cLirpxltq3Ef0EjPVz6fkK927MmqxY0haeDhci3f9GYsoG/XD++jg==",19/03/20 12:32,"PRO-02895-Y0S9W4",19/03/20 09:32,"Sim","2415000,00","4665,22","1570000,00","3032,88",5,
"c3642d9b-6665-ea11-a811-000d3a887300","A8j836AfIlsMFHa+5+vpMGwft/oVaHXlN6ucOw0OTOFHL06PgnRZVRwmaVdT292MEu8gKvCGVRz+qpU6vuRnvA==",30/03/20 17:24,"PRO-05260-H4T1W3",30/03/20 14:24,"Não","4149278,41","5925,76","4149278,41","5925,76",5,
"47880544-046d-ea11-a811-000d3a887300","qcKpv3CBmp+U7+aB8rxy1zCeH3kO00A1lFPAWKZMqU2qbYqJ5J4pJfIr7Kl84eAoJeE6RLQLHlON4rb58p0NLQ==",26/03/20 17:03,"PRO-05462-S7C0F1",26/03/20 14:03,"Sim","1050390,41","8478,41","1050390,41","8478,41",3,
"281a2e8b-076d-ea11-a811-000d3a887300","LGfI7KQl2YaF7dgR0GKXPvHJ7NchYFxBeNq3MhuxUVjAful2o3a8nuh3CXsnGj/vy7gXFds+fwEaCNpgRAoUHA==",31/03/20 19:05,"PRO-05379-M2V0R6",31/03/20 16:05,"Sim","740000,00","3232,99","740000,00","3232,99",5,
"661fdd33-156d-ea11-a811-000d3a887300","yocVnmX79umxYm7l13GC9fJ/eFsOlTdWKah3tq5aM2VztM14leCXf1V6uNtC1pB/SagR/wCG6vfFB4G9lJgGmA==",26/03/20 19:45,"PRO-05517-Y7M7N4",26/03/20 16:45,"Sim","2720000,00","11333,33","2720000,00","11333,33",4,
"a5d415ba-156d-ea11-a811-000d3a887300","FGDfjKIpaBtbB1dx/r5/gF4UF9H0XcYiDGqczNHH9CCvGdVCgGv4vjDazvwHPY+CHF///fjDk9l93rqW3KxV6Q==",26/03/20 19:45,"PRO-05517-Y7M7N4",26/03/20 16:45,"Sim","1488031,25","5312,50","1488031,25","5312,50",4,
"be8e096e-e56d-ea11-a811-000d3a887300","8sxy4uCIwmf0zpf/48FDUEV3rmERT9hgyJD8BSuNQKpbb817zhibSi4ENkNVAbY+MDsdCfdP6AutrdIsZDdQOg==",27/03/20 18:49,"PRO-05460-N9X6K3",27/03/20 15:49,"Não","694842,28","3997,02","694842,28","3997,02",12,
"cf685998-096e-ea11-a811-000d3a887300","Uog+eAzFCaFy7LAsMK9kaCf8ViCBQC9ucmjZm/JV5zw7HoxX3QuigticDyIGmk9fk3Q0XPhqsb49O68IG240SQ==",24/03/20 20:07,"PRO-05360-T8Y3G3",24/03/20 17:07,"Sim","808442,73","6143,18","808442,73","6143,18",5,
"b0d0ab11-0a6e-ea11-a811-000d3a887300","Ji+juwKdBMgd/XpimWLHuQslERa0HbEr+K0MsDrJhcwZnM5pK4Fke5H+z0U7AodyK9XuTOHIuw4aRhYzUvot/A==",24/03/20 20:00,"PRO-05360-T8Y3G3",24/03/20 17:00,"Sim","808442,73","6143,18","808442,73","6143,18",5,
"400a975b-0e6e-ea11-a811-000d3a887300","/Fo2pP8eWwqQrVP0koXQog0gfyG9mPWVeXyYmYNiJaEF4+9wIl9YybwS2oMF8LXmnaIGBgktp1ntoXPVKyR9wQ==",06/04/20 20:14,"PRO-05505-K6J3H9",06/04/20 17:14,"Não","3123106,25","9105,27","3123106,25","9105,27",6,
"41b0663e-166e-ea11-a811-000d3a887300","kdsBv3pxyHPSxPwQeRh42NHHCXEnmVYu5gRx4KB5PWpxAVwi7idXVKSt7/HjuUNxz8Im9uS0rDJO/jiM9I5Iew==",26/03/20 19:31,"PRO-05532-S5Y2P3",26/03/20 16:31,"Sim","1278750,00","7750,00","1278750,00","7750,00",5,
"76577e42-a76e-ea11-a811-000d3a887300","Qw1Ep98kBkL0BI5b/SmW54DK5ZB0CdfA/kRB1cwDvg1VN+SjKrARLlM4yxlwezoxTKJufeY8S0ThprLz6t89xQ==",02/04/20 14:53,"PRO-05390-G9H3B7",02/04/20 11:53,"Não","2339983,24","6685,67","2339983,24","6685,67",4,
"232db4e1-c46e-ea11-a811-000d3a887300","yNIbcF3zFn4YF358LKVwoj6grc53cx1ZCCsNamNnngZr5cep4MPjU395qkT/8jAjzir8qwm6es0Shbi26UycqA==",25/03/20 18:17,"PRO-05559-Y6C1J3",25/03/20 15:17,"Sim","430684,70","4255,36","430684,70","4255,36",4,
"0900dc01-d06e-ea11-a811-000d3a887300","ng3wXuLRqSSiZ6I4e1LyC5rVOCn3pY7UrtIzsWIotC10lsniyyNy/dW4cATfKhSq1DxFPavzw/tszP79RGEHrA==",30/03/20 18:30,"PRO-05661-R2H8V4",30/03/20 15:30,"Sim","1116523,38","7257,69","1116523,38","7257,69",6,
"382979b0-d06e-ea11-a811-000d3a887300","6Mt4iTT7U3IK7pvYH7usgY8lEWjQqfZLiFEVb7+TRj52BNaxMIVOMwtEY7uPyS3F380tDj3Uotan+EUR4aSunA==",30/03/20 14:03,"PRO-05426-W1N0Y8",30/03/20 11:03,"Sim","247838,42","3521,93","247838,42","3521,93",4,
"3f5b2ef6-d66e-ea11-a811-000d3a887300","1KsuKUF2+cBgPs4imMk5dYirRURFoT+uEcw1QxopSu5snCdCbqGYblWw2ZP8/ye5ZgP35ykf3Mv/e3eFIJYGew==",26/03/20 17:55,"PRO-05631-W7Y9D1",26/03/20 14:55,"Sim","2374233,24","5861,73","2374233,24","5861,73",8,
"8a35ab67-db6e-ea11-a811-000d3a887300","/pxRBDoXxU9fdF7H38FKgRR3ZGHyFisfA6lQVzIkQLDzma4pWFT4aZs2AAWHVhD1D9mrMpmQsOvw72PmZnqzgw==",25/03/20 21:08,"PRO-05543-D3G1W5",25/03/20 18:08,"Sim","2800000,00","11047,54","2800000,00","11047,54",0,
"0a6220ff-956f-ea11-a811-000d3a887300","KnPR0N0jxmplYGjk9oc/pOWF5YRHlebeCTF18/+lTLUfKQnPmAw+nNsdxIZ9++1BNk/esi0Us4uB9x2gaWwikw==",30/03/20 18:54,"PRO-05623-L4M9S7",30/03/20 15:54,"Sim","784787,70","7070,80","784787,70","7070,80",5,
"c55a79b9-3370-ea11-a811-000d3a887300","GUNim5Xr1x/qM2yKELPP1xwbRLFNeejf/KON9Y4xR8cylatecQHXBHfnIQcVOumAuFAy0O1Vscpfv6+NmgFLdg==",27/03/20 21:16,"PRO-05514-T7K2B8",27/03/20 18:16,"Sim","294001,92","3759,62","294001,92","3759,62",5,
"e33b3a06-8772-ea11-a811-000d3a887300","5opIhT7eVHO4pX3TDpVUzMonac4vTMbbcRsYHnrNDpiAgqHhoZ6VEpPEI9Q6AIlCCvZsyxEg67HCIsnHp3+3BQ==",30/03/20 20:50,"PRO-05695-M7M4P0",30/03/20 17:50,"Sim","3000000,00","5545,29","3000000,00","5545,29",0,
"7000491f-a772-ea11-a811-000d3a887300","G6aL245xpSKM1inNprBVwGasRcxhLE8WG0vJW0x7j6+dd80SuI6YcmtiOxeGPnsMEv+idN5/2ecTokT/K86n+A==",30/03/20 16:54,"PRO-05659-X0K9X1",30/03/20 13:54,"Sim","385004,46","4553,57","385004,46","4553,57",5,
"97267220-b572-ea11-a811-000d3a887300","zkLRF2TLm0Cb9D3/HuHXhLtmAeOSZDa+TLWcSzFO6Ow5z9ONIDFkQCPiISiOHXM0b0jTUp4OjYX6lIhbeT1HXQ==",30/03/20 18:35,"PRO-05685-R8Z0X0",30/03/20 15:35,"Sim","291070,69","3636,11","291070,69","3636,11",5,
